Diana the Huntress,,https://images.metmuseum.org/CRDImages/ep/web-large/DP-18296-033.jpg,Giampietrino (Giovanni Pietro Rizzoli)
"Portrait of a Man, Said to Be John Cecil (1628�1678), Fourth Earl of Exeter",ca. 1670,https://images.metmuseum.org/CRDImages/ep/web-large/57101.jpg,Richard Gibson
Francesca Ghirardi Lechi (1773�1806),,https://images.metmuseum.org/CRDImages/ep/web-large/ep26.168.33.R.jpg,Giovanni Battista Gigola
The Annunciation,1672,https://images.metmuseum.org/CRDImages/ep/web-large/DP-22842-001.jpg,Luca Giordano
The Flight into Egypt,,https://images.metmuseum.org/CRDImages/ep/web-large/DP-24117-001.jpg,Luca Giordano
The Adoration of the Magi,possibly ca. 1320,https://images.metmuseum.org/CRDImages/ep/web-large/DP-19501-001.jpg,Giotto di Bondone
Madonna and Child with Donors,ca. 1365,https://images.metmuseum.org/CRDImages/ep/web-large/DP-18296-011.jpg,Giovanni da Milano
Madonna and Child with Saints,1454,https://images.metmuseum.org/CRDImages/ep/web-large/LC-32_100_76-1.jpg,Giovanni di Paolo (Giovanni di Paolo di Grazia)
The Adoration of the Magi,ca. 1460,https://images.metmuseum.org/CRDImages/ep/web-large/DT2580.jpg,Giovanni di Paolo (Giovanni di Paolo di Grazia)
Madonna and Child with Two Angels and a Donor,ca. 1445,https://images.metmuseum.org/CRDImages/ep/web-large/DT269020.jpg,Giovanni di Paolo (Giovanni di Paolo di Grazia)
The Miraculous Communion of Saint Catherine of Siena,,https://images.metmuseum.org/CRDImages/ep/web-large/DP-16597-001.jpg,Giovanni di Paolo (Giovanni di Paolo di Grazia)
Paradise,1445,https://images.metmuseum.org/CRDImages/ep/web-large/DP-19297-001.jpg,Giovanni di Paolo (Giovanni di Paolo di Grazia)
The Presentation of Christ in the Temple,ca. 1435,https://images.metmuseum.org/CRDImages/ep/web-large/DT208765.jpg,Giovanni di Paolo (Giovanni di Paolo di Grazia)
"Saints Catherine of Alexandria, Barbara, Agatha, and Margaret",ca. 1470,https://images.metmuseum.org/CRDImages/ep/web-large/DT2830.jpg,Giovanni di Paolo (Giovanni di Paolo di Grazia)
Saints Matthew and Francis,ca. 1435,https://images.metmuseum.org/CRDImages/ep/web-large/DP-19499-001.jpg,Giovanni di Paolo (Giovanni di Paolo di Grazia)
The Triumph of Fame; (reverse) Impresa of the Medici Family and Arms of the Medici and Tornabuoni Families,ca. 1449,https://images.metmuseum.org/CRDImages/ep/web-large/DP164870.jpg,Giovanni di ser Giovanni Guidi (called Scheggia)
Descent from the Cross,,https://images.metmuseum.org/CRDImages/ep/web-large/DT200204.jpg,Girolamo da Cremona
Madonna and Child with Saints,ca. 1520,https://images.metmuseum.org/CRDImages/ep/web-large/DT2956.jpg,Girolamo dai Libri
Before the Mirror,1873,https://images.metmuseum.org/CRDImages/ep/web-large/DP-23348-001.jpg,Pierre-Paul-L�on Glaize
"Marie Ad�la�de de Savoie (1685�1712), Duchesse de Bourgogne",1710,https://images.metmuseum.org/CRDImages/ep/web-large/DP317663.jpg,Pierre Gobert
Portrait of a Man,ca. 1475,https://images.metmuseum.org/CRDImages/ep/web-large/DP347299.jpg,Hugo van der Goes
A Benedictine Monk,,https://images.metmuseum.org/CRDImages/ep/web-large/DP-19585-001.jpg,Hugo van der Goes
The Adoration of the Magi,,https://images.metmuseum.org/CRDImages/ep/web-large/DP332733.jpg,Hugo van der Goes
Sunflowers,1887,https://images.metmuseum.org/CRDImages/ep/web-large/DP229743.jpg,Vincent van Gogh
Bouquet of Flowers in a Vase,1890,https://images.metmuseum.org/CRDImages/ep/web-large/DT7098.jpg,Vincent van Gogh
"First Steps, after Millet",1890,https://images.metmuseum.org/CRDImages/ep/web-large/DP124808.jpg,Vincent van Gogh
The Flowering Orchard,1888,https://images.metmuseum.org/CRDImages/ep/web-large/DP-14936-045.jpg,Vincent van Gogh
Irises,1890,https://images.metmuseum.org/CRDImages/ep/web-large/DP346474.jpg,Vincent van Gogh
"L'Arl�sienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848�1911)",1888�89,https://images.metmuseum.org/CRDImages/ep/web-large/DT1396.jpg,Vincent van Gogh
Oleanders,1888,https://images.metmuseum.org/CRDImages/ep/web-large/DT1494.jpg,Vincent van Gogh
Peasant Woman Cooking by a Fireplace,1885,https://images.metmuseum.org/CRDImages/ep/web-large/DT2163.jpg,Vincent van Gogh
Self-Portrait with a Straw Hat (obverse: The Potato Peeler),1887,https://images.metmuseum.org/CRDImages/ep/web-large/DT1502_cropped2.jpg,Vincent van Gogh
Shoes,1888,https://images.metmuseum.org/CRDImages/ep/web-large/DT1947.jpg,Vincent van Gogh
